sample_name,standards_added,volume_filtered,BPDExtraSmall1,BPDExtraSmall2,BPDSmall1,BPDSmall2,BPDMedium1,BPDMedium2,BPDLarge1,BPDLarge2,SmallStandard1,SmallStandard2,MediumStandard1,MediumStandard2,LargeStandard1,LargeStandard2,average,NORM_FACTOR
G3PA.UW36.flash,5230198630,5.5,108580,23942,381797,524887,1069493,1062647,1666481,932536,50,41,258,357,747,822,939640.1667,1012.031243
G3PA.UW59.flash,5230198630,5.5,36063,6523,135327,202215,384026,374075,571219,315520,201,145,978,1235,2640,2617,330397,2878.189588
G3PA.UW51.flash,5230198630,6,218233,47701,780960,1151306,2090599,2065381,3118651,1775404,374,289,2233,2962,6087,6526,1830383.5,476.2388711
G3PA.UW37.flash,5230198630,6,72739,15874,307382,363722,619117,624836,927866,527763,174,51,340,492,1108,922,561781,1551.671864
G3PA.UW27.flash,5230198630,6,155953,29959,725191,908425,1898949,2009762,3025025,1756767,173,115,535,994,1890,2083,1720686.5,506.5999946
G3PA.UW57.flash,5230198630,6,84588,14097,234374,353760,605183,593428,883672,476165,481,429,2748,3462,7837,7485,524430.3333,1662.184119
G3PA.UW44.flash,5230198630,7.5,192548,40883,795636,1066312,2173424,2169036,3374453,1927328,201,171,919,1286,2535,2676,1917698.167,363.6442009
G3PA.UW67.flash,5230198630,7.5,110763,22704,346405,513195,924150,888833,1357731,749727,306,164,709,1013,2760,2394,796673.5,875.3395429
G3PA.UW21.flash,5230198630,7,349970,72832,1282622,1576996,2962473,3097732,4449944,2634616,434,232,1136,1621,3147,2998,2667397.167,280.112479
G3PA.UW29.flash,5230198630,7,134786,29497,469308,719222,1194394,1158318,1679141,960831,382,296,1777,2160,4537,4344,1030202.333,725.2664925
G3PA.UW4.flash,5230198630,6,288840,58729,1231060,1575621,3280864,3320290,5180957,3077469,105,95,282,518,1027,892,2944376.833,296.0557772
G3PA.UW64.flash,5230198630,6,92889,18417,367591,521207,987623,983401,1451171,784435,269,115,617,797,1900,1672,849238,1026.449325
G3PA.UW31.flash,5230198630,9.25,312662,69269,962320,1455124,2515821,2496578,3799636,2200645,166,100,773,856,1533,1658,2238354,252.6083358
G3PA.UW20.flash,5230198630,9.25,105346,22471,274294,392327,684324,684008,993369,543273,232,259,1142,1460,2911,2926,595265.8333,949.8728925
G3PA.UW2.flash,5230198630,8.5,75428,16554,307397,398859,852986,857574,1314722,763654,38,29,92,111,274,259,749198.6667,821.3008288
G3PA.UW1.flash,5230198630,8.5,66156,13451,263304,341962,658893,667976,961286,549377,155,75,463,586,1094,1029,573799.6667,1072.355949
G3PA.UW8.flash,5230198630,9,78191,17221,335514,426554,778337,764279,1161540,640222,101,38,160,273,598,525,684407.6667,849.1038447
G3PA.UW26.flash,5230198630,10,153118,31174,781488,963251,2017436,2074059,3149470,1888575,116,53,298,361,890,862,1812379.833,288.5818157
G3PA.UW9.flash,5230198630,10,40022,7874,187986,247952,517654,526327,822222,467924,95,25,118,172,527,447,461677.5,1132.868427
