SampleID,Cruise,Station,Cast,Filter,Replicate,Depth,Datetime_GMT,Latitude,Longitude,Volume_L,SequencingID,Alias1,Alias2,Notes
S12C1_3umB,kok1606,12,1,3,B,15,4/30/16 15:01,33.09116667,158.0008333,10,175896,S12C1_3umB,S12C1_3umB,
S13C1_0_2umA,kok1606,13,1,0.2,A,15,5/1/16 14:58,29.69983333,157.9993333,10,175904,S13C1_0.2umA,S13C1_0.2umA,
S13C1_0_2umB,kok1606,13,1,0.2,B,15,5/1/16 14:58,29.69983333,157.9993333,,,,,failed seq
S13C1_3umA,kok1606,13,1,3,A,15,5/1/16 14:58,29.69983333,157.9993333,10,175888,S13C1_3umA,S13C1_3umA,
S13C1_3umB,kok1606,13,1,3,B,15,5/1/16 14:58,29.69983333,157.9993333,10,175881,S13C1_3umB,S13C1_3umB,
S14C1_0_2umA,kok1606,14,1,0.2,A,15,5/2/16 15:01,26.2825,157.9988333,10,175906,S14C1_0.2umA,S14C1_0.2umA,
S14C1_0_2umB,kok1606,14,1,0.2,B,15,5/2/16 15:01,26.2825,157.9988333,9,175916,S14C1_0.2umB,S14C1_0.2umB,
S14C1_0_2umC,kok1606,14,1,0.2,C,15,5/2/16 15:01,26.2825,157.9988333,8.5,175899,S14C1_0.2umC,S14C1_0.2umC,
S14C1_3umA,kok1606,14,1,3,A,15,5/2/16 15:01,26.2825,157.9988333,10,175873,S14C1_3umA,S14C1_3umA,
S14C1_3umB,kok1606,14,1,3,B,15,5/2/16 15:01,26.2825,157.9988333,9,175892,S14C1_3umB,S14C1_3umB,
S14C1_3umC,kok1606,14,1,3,C,15,5/2/16 15:01,26.2825,157.9988333,8.5,175918,S14C1_3umC,S14C1_3umC,
