SampleID,Cruise,Station,Cast,Filter,Replicate,Depth,Datetime_HST,Latitude,Longitude,Volume_L,SequencingID,Alias1,Alias2,Notes
G3.UW.PA.UW35_2.7m.3um.A,km1906,,,3,A,7,4/26/19 5:55,35.83,-158,10,442936,UW35 #2 A,UW41,
G3.UW.PA.UW35_2.7m.3um.B,km1906,,,3,B,7,4/26/19 5:55,35.83,-158,7,442955,UW35 #2 B,UW60,
G3.UW.PA.UW35_2.7m.3um.C,km1906,,,3,C,7,4/26/19 5:55,35.83,-158,9.5,442928,UW35 #2 C,UW33,
G3.UW.PA.UW37_1.7m.0_2um.A,km1906,,,0.2,A,7,4/19/19 18:47,37,-158,10,442912,UW37 A,UW17,
G3.UW.PA.UW37_1.7m.0_2um.B,km1906,,,0.2,B,7,4/19/19 18:47,37,-158,10,442929,UW37 B,UW34,
G3.UW.PA.UW37_1.7m.0_2um.C,km1906,,,0.2,C,7,4/19/19 18:47,37,-158,5.5,442949,UW37 C,UW54,
G3.UW.PA.UW37_1.7m.3um.A,km1906,,,3,A,7,4/19/19 18:47,37,-158,10,442927,UW37 A,UW32,
G3.UW.PA.UW37_1.7m.3um.B,km1906,,,3,B,7,4/19/19 18:47,37,-158,10,442920,UW37 B,UW25,
G3.UW.PA.UW37_1.7m.3um.C,km1906,,,3,C,7,4/19/19 18:47,37,-158,5.5,442942,UW37 C,UW47,
G3.UW.PA.UW38_1.7m.0_2um.A,km1906,,,0.2,A,7,4/15/19 5:37,38.97,-158,10,442907,UW38 A,UW11,
G3.UW.PA.UW38_1.7m.0_2um.B,km1906,,,0.2,B,7,4/15/19 5:37,38.97,-158,9.5,442913,UW38 B,UW18,
G3.UW.PA.UW38_1.7m.0_2um.C,km1906,,,0.2,C,7,4/15/19 5:37,38.97,-158,8,442945,UW38 C,UW50,
G3.UW.PA.UW38_1.7m.3um.A,km1906,,,3,A,7,4/15/19 5:37,38.97,-158,10,442937,UW38 A,UW42,
G3.UW.PA.UW38_1.7m.3um.B,km1906,,,3,B,7,4/15/19 5:37,38.97,-158,9.5,442918,UW38 B,UW23,
G3.UW.PA.UW38_1.7m.3um.C,km1906,,,3,C,7,4/15/19 5:37,38.97,-158,8,442934,UW38 C,UW39,
G3.UW.PA.UW40_1.7m.0_2um.A,km1906,,,0.2,A,7,4/24/19 5:57,40.88,-158,10,442910,UW40 A,UW14,
G3.UW.PA.UW40_1.7m.0_2um.B,km1906,,,0.2,B,7,4/24/19 5:57,40.88,-158,10.25,442923,UW40 B,UW28,
G3.UW.PA.UW40_1.7m.0_2um.C,km1906,,,0.2,C,7,4/24/19 5:57,40.88,-158,10,442958,UW40 C,UW63,
G3.UW.PA.UW40_1.7m.3um.A,km1906,,,3,A,7,4/24/19 5:57,40.88,-158,10,442940,UW40 A,UW45,
G3.UW.PA.UW40_1.7m.3um.B,km1906,,,3,B,7,4/24/19 5:57,40.88,-158,10.25,442933,UW40 B,UW38,
G3.UW.PA.UW40_1.7m.3um.C,km1906,,,3,C,7,4/24/19 5:57,40.88,-158,10,442944,UW40 C,UW49,
G3.UW.PA.UW40_2.7m.0_2um.A,km1906,,,0.2,A,7,4/25/19 6:01,40.09,-158,9.5,442908,UW40 #2 A,UW12,
G3.UW.PA.UW40_2.7m.0_2um.B,km1906,,,0.2,B,7,4/25/19 6:01,40.09,-158,8.5,442935,UW40 #2 B,UW40,
G3.UW.PA.UW40_2.7m.0_2um.C,km1906,,,0.2,C,7,4/25/19 6:01,40.09,-158,8.5,442943,UW40 #2 C,UW48,
G3.UW.PA.UW40_2.7m.3um.A,km1906,,,3,A,7,4/25/19 6:01,40.09,-158,9.5,442957,UW40 #2 A,UW62,
G3.UW.PA.UW40_2.7m.3um.B,km1906,,,3,B,7,4/25/19 6:01,40.09,-158,8.5,442917,UW40 #2 B,UW22,
G3.UW.PA.UW40_2.7m.3um.C,km1906,,,3,C,7,4/25/19 6:01,40.09,-158,8.5,442911,UW40 #2 C,UW16,
